ra,dec,d
112.6976766,-6.324565127,1368.9556
112.7155595,-6.320682667,1367.9018
112.7334835,-6.316664378,1366.8473
112.7513656,-6.312780111,1365.7921
112.7693775,-6.308712763,1364.7363
112.7873417,-6.304556837,1363.6798
112.8053527,-6.300487672,1362.6226
112.8233161,-6.296329938,1361.5647
112.8414564,-6.292076766,1360.5061
112.8594603,-6.2877823,1359.4469
112.8775525,-6.283439657,1358.3869
112.8956443,-6.279096106,1357.3263
112.9138243,-6.274704361,1356.265
112.9320452,-6.270176785,1355.2031
112.9501771,-6.265695583,1354.1404
112.9684384,-6.261031267,1353.0771
112.9866581,-6.256500947,1352.0131
113.0049186,-6.251834801,1350.9484
113.02322,-6.247032832,1349.883
113.0415683,-6.242317547,1348.8169
113.0598688,-6.237513747,1347.7502
113.0782101,-6.232574129,1346.6828
113.0965984,-6.227721181,1345.6148
113.1150274,-6.222732411,1344.546
113.1334087,-6.217655148,1343.4766
113.1519254,-6.212617211,1342.4064
113.1703944,-6.207490785,1341.3357
113.1888629,-6.202363441,1340.2642
113.2073721,-6.197100284,1339.1921
113.2259695,-6.191788865,1338.1192
113.2445664,-6.186476522,1337.0457
113.2631628,-6.181163257,1335.9715
113.2817114,-6.175761536,1334.8967
113.3004367,-6.170264178,1333.8211
113.3190255,-6.164725738,1332.7449
113.3377025,-6.159139016,1331.668
113.3564674,-6.153504003,1330.5904
113.375096,-6.147827937,1329.5121
113.3939486,-6.142143699,1328.4332
113.4126647,-6.136418418,1327.3536
113.43151,-6.130509957,1326.2733
113.4502663,-6.124647967,1325.1924
113.4691106,-6.118737668,1324.1107
113.488043,-6.112779048,1323.0283
113.5069274,-6.106732034,1321.9453
113.5258113,-6.100684103,1320.8616
113.5447359,-6.094500388,1319.7773
113.5636599,-6.088315758,1318.6922
113.5825834,-6.082130214,1317.6065
113.6015475,-6.075808895,1316.5201
113.620647,-6.069526673,1315.433
113.6396511,-6.063068666,1314.3452
113.6587021,-6.056697174,1313.2568
113.6777936,-6.05018991,1312.1677
113.6968846,-6.043681732,1311.0779
113.7159277,-6.037085234,1309.9874
113.7350587,-6.030440385,1308.8963
113.7542776,-6.023747174,1307.8044
113.7734486,-6.016965656,1306.7119
113.792619,-6.010183232,1305.6187
113.8118773,-6.003352439,1304.5248
113.8310876,-5.996433361,1303.4303
113.8502974,-5.989513381,1302.335
113.8695951,-5.982545025,1301.2391
113.8889332,-5.975440929,1300.1425
113.9081823,-5.968383409,1299.0452
113.9275193,-5.961277507,1297.9473
113.9468967,-5.954035875,1296.8486
113.9662736,-5.946793344,1295.7493
113.9856024,-5.939462587,1294.6493
114.0050665,-5.932170764,1293.5485
114.0244352,-5.924703406,1292.4471
114.0439391,-5.917274968,1291.345
114.063395,-5.909758326,1290.2423
114.0828503,-5.902240794,1289.1389
114.102346,-5.894587566,1288.0347
114.1218411,-5.886933454,1286.93
114.1413767,-5.879143656,1285.8245
114.1609589,-5.871440252,1284.7183
114.1804932,-5.863648691,1283.6114
114.2000678,-5.855721456,1282.5039
114.2196418,-5.847793349,1281.3956
114.2393036,-5.839816828,1280.2868
114.2589174,-5.831752186,1279.1771
114.2785304,-5.823686677,1278.0668
114.2982313,-5.81557275,1276.9559
114.3178841,-5.807370726,1275.8442
114.3375362,-5.799167842,1274.7317
114.3572761,-5.790916536,1273.6188
114.3770564,-5.782529592,1272.505
114.3967476,-5.774189358,1271.3905
114.4164791,-5.765713504,1270.2754
114.4362983,-5.757189227,1269.1596
114.4560285,-5.748711676,1268.043
114.475799,-5.740098522,1266.9258
114.4956572,-5.731436942,1265.808
114.5155147,-5.722774516,1264.6894
114.5353242,-5.714024088,1263.57
114.555133,-5.705272828,1262.45
114.574982,-5.696385993,1261.3293
114.5949188,-5.687450729,1260.2079
114.6147191,-5.678475109,1259.0858
114.6346544,-5.669538195,1257.963
114.6545827,-5.660378598,1256.8395
114.6744693,-5.651352922,1255.7154
114.6943962,-5.642191703,1254.5905
114.7143633,-5.632894953,1253.4648
114.7342887,-5.623732121,1252.3386
114.7542545,-5.614433765,1251.2115
114.7742605,-5.604999895,1250.0839
114.7942657,-5.595565233,1248.9555
114.8142703,-5.586129778,1247.8263
114.8342268,-5.57660647,1246.6965
114.8542709,-5.56703474,1245.566
114.8742668,-5.557375177,1244.4347
114.8942621,-5.547714846,1243.3028
114.914345,-5.538006091,1242.1702
114.9343798,-5.528209533,1241.0368
114.9544139,-5.518412215,1239.9027
114.9744882,-5.508479458,1238.7679
114.9945618,-5.49854595,1237.6324
115.0146347,-5.488611693,1236.4962
115.0346594,-5.47858969,1235.3593
115.0547718,-5.468519276,1234.2215
115.0748361,-5.458361138,1233.0831
115.0949879,-5.448154592,1231.944
115.115139,-5.437947316,1230.8042
115.135242,-5.427652346,1229.6636
115.1552969,-5.417269705,1228.5224
115.1753985,-5.406973314,1227.3804
115.1954929,-5.396454625,1226.2376
115.2156339,-5.386022182,1225.0942
115.2358151,-5.375454402,1223.95
115.25586,-5.364846712,1222.8051
115.2760398,-5.354277555,1221.6595
115.2962123,-5.343486173,1220.5131
115.3163433,-5.332828742,1219.366
115.336467,-5.321949122,1218.2181
115.3566374,-5.31115574,1217.0696
115.3767598,-5.30027481,1215.9203
115.396834,-5.289306353,1214.7702
115.4169957,-5.27828953,1213.6194
115.4371568,-5.267272068,1212.4678
115.4572697,-5.256167113,1211.3156
115.4774702,-5.245013795,1210.1626
115.4975818,-5.233907592,1209.0088
115.5176861,-5.222579354,1207.8543
115.5378371,-5.211337348,1206.699
115.55794,-5.200007911,1205.543
115.5781304,-5.188630129,1204.3861
115.5982728,-5.17716494,1203.2286
115.6183671,-5.165612369,1202.0704
115.638508,-5.154146025,1200.9113
115.6585535,-5.142505528,1199.7515
115.6786457,-5.130951261,1198.5909
115.6987781,-5.119261891,1197.4296
115.7188623,-5.107485203,1196.2675
115.7389459,-5.095707979,1195.1046
115.7589815,-5.083843468,1193.941
115.7791519,-5.072017406,1192.7766
115.7991387,-5.060065111,1191.6114
115.819213,-5.048064532,1190.4455
115.8392867,-5.036063448,1189.2788
115.8593123,-5.023975144,1188.1112
115.8793372,-5.011886354,1186.943
115.8993141,-4.999710374,1185.7739
115.9193785,-4.98748613,1184.6041
115.9393949,-4.975174724,1183.4334
115.9593225,-4.962910662,1182.262
115.9792902,-4.950511672,1181.0899
115.9992573,-4.938112244,1179.9168
116.0192237,-4.92571238,1178.7431
116.039183,-4.913090963,1177.5684
116.0591008,-4.900603596,1176.3931
116.0789706,-4.888029172,1175.2169
116.0988806,-4.875319899,1174.0398
116.1187018,-4.862658056,1172.862
116.1386105,-4.84994801,1171.6834
116.1584712,-4.837150968,1170.504
116.178284,-4.824266952,1169.3238
116.1980962,-4.811382585,1168.1427
116.2179077,-4.798497868,1166.9609
116.2376714,-4.785526219,1165.7782
116.2573871,-4.772467662,1164.5947
116.2771021,-4.759408791,1163.4104
116.2968166,-4.746349606,1162.2252
116.3165713,-4.733155717,1161.0393
116.33619,-4.719922822,1159.8524
116.3558081,-4.706689649,1158.6648
116.3755138,-4.693408356,1157.4763
116.3950834,-4.680088105,1156.287
116.4146933,-4.66663323,1155.0968
116.4342145,-4.65322596,1153.9058
116.4537351,-4.639818451,1152.7139
116.473296,-4.626276356,1151.5212
116.492721,-4.612695401,1150.3277
116.5121454,-4.599114243,1149.1333
116.5316574,-4.585485026,1147.9381
116.5509861,-4.571730528,1146.7419
116.5703617,-4.558062326,1145.5449
116.5897302,-4.54417317,1144.3471
116.6090574,-4.530418175,1143.1483
116.6283368,-4.516576579,1141.9486
116.6475685,-4.502648405,1140.7482
116.6667524,-4.488633677,1139.5468
116.6859831,-4.474705259,1138.3446
116.7051187,-4.460603893,1137.1415
116.7242539,-4.446502436,1135.9375
116.7433006,-4.432448765,1134.7326
116.7623876,-4.418260744,1133.5268
116.7814268,-4.403986269,1132.3201
116.8003776,-4.389759619,1131.1125
116.8192807,-4.375446552,1129.904
116.8381834,-4.361133454,1128.6946
116.8570384,-4.346733972,1127.4843
116.8758929,-4.332334479,1126.2731
116.8946999,-4.317848635,1125.0609
116.9135064,-4.303362799,1123.8479
116.93213,-4.288752205,1122.634
116.9508005,-4.274227974,1121.4191
116.9694234,-4.259617462,1120.2033
116.9879986,-4.244920693,1118.9865
117.0065735,-4.230223989,1117.7687
117.0251009,-4.21544106,1116.5502
117.0434926,-4.200619823,1115.3306
117.0618841,-4.18579869,1114.11
117.0802752,-4.170977663,1112.8886
117.0986187,-4.15607048,1111.6661
117.1168268,-4.14112506,1110.4427
117.1349873,-4.126093534,1109.2184
117.1532828,-4.111100515,1107.9931
117.1713075,-4.096030965,1106.7668
117.18942,-4.080913698,1105.5395
117.2073971,-4.06575829,1104.3114
117.2253739,-4.050603081,1103.0821
117.2433033,-4.035361867,1101.852
117.2610972,-4.020082571,1100.6208
117.278891,-4.004803512,1099.3887
