ra,dec,d,start_times,end_times
100.28884,-14.2938,1143.1,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
109.68454,11.22738,363.3,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
107.63401,15.16846,356.9,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
107.73548,13.80042,338.0,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
3.74307,54.4938,432.1,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
350.75961,60.63397,376.9,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
107.78463,15.56285,337.0,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
108.32933,11.6768,341.1,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
109.0119,17.29787,337.6,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
95.83261,-10.81757,916.3,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
100.22414,-15.31187,1190.7,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
329.37973,75.95959,254.7,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
306.97518,39.42852,1032.0,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
107.54576,21.79833,402.7,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
308.73517,39.92362,957.7,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
104.80941,8.30718,301.5,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
307.77074,38.23857,1023.4,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
316.4375,47.93416,744.3,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
337.99668,59.18022,451.6,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
106.98477,9.60027,441.6,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
208.06675,82.33891,178.1,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
99.27053,-14.55136,1122.9,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
94.78535,-10.9874,978.7,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
308.2121,37.36205,995.7,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
115.83564,15.18954,346.6,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
339.76628,52.02692,454.8,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
105.66848,5.72631,241.7,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
307.36143,31.81708,1062.4,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
357.01946,51.13343,422.5,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
0.64826,51.84648,400.8,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
307.98687,41.34049,992.9,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
307.79833,38.09883,979.6,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
307.59401,39.57687,957.3,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
94.1065,-8.91969,913.1,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
108.27612,3.25074,406.7,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
320.65601,47.29072,619.9,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
107.21024,14.86494,379.4,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
108.81462,6.85268,364.7,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
108.88897,9.86297,309.9,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
95.8058,-4.67403,829.0,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
315.03494,47.17005,770.5,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
306.76439,38.68475,949.7,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
311.0732,45.92335,792.7,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
316.7778,47.59112,733.7,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
326.88982,74.48936,367.3,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
107.03272,24.34813,394.1,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
103.27242,19.94903,380.0,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
108.68553,20.89051,413.8,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
109.83208,20.94067,407.1,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
108.62992,12.90989,357.7,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
107.87798,11.90041,397.1,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
109.33158,11.71434,414.6,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
106.94591,1.4549,420.1,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
95.67088,-5.07396,844.5,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
96.70145,-4.88926,829.6,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
